company_ticker,year,env_capex,capex
xom,2022,"5,699","22,704"
xom,2021,"4,563","16,595"
xom,2020,"4,476","21,374"
xom,2019,"5,245","31,148"
xom,2018,"4,852","25,923"
xom,2017,"4,670","23,080"
xom,2016,"4,887","19,304"
xom,2015,"5,646","31,051"
xom,2014,"6,188","38,537"
xom,2013,"6,012","42,489"
xom,2012,"5,512","39,799"
xom,2011,"4,884","36,766"
xom,2010,"4,540","32,226"
cvx,2022,200,"11,974"
cvx,2021,300,"11,720"
cvx,2020,500,"13,499"
cvx,2019,600,"20,994"
cvx,2018,500,"20,106"
cvx,2017,500,"18,821"
cvx,2016,500,"22,428"
cvx,2015,900,"33,979"
cvx,2014,900,"40,316"
cvx,2013,1000,"41,877"
cvx,2012,1100,"34,229"
cop,2021,109,"5,324"
cop,2020,106,"4,715"
cop,2019,97,"6,636"
cop,2018,88,"6,750"
cop,2017,96,"4,591"
cop,2016,92,"4,869"
cop,2015,105,"10,050"
cop,2014,141,"17,085"
cop,2013,357,"15,537"
cop,2012,142,"14,172"
slb,2022,0,"1,618"
slb,2021,0,"1,141"
slb,2020,0,"1,116"
slb,2019,0,"1,724"
slb,2018,0,"2,160"
slb,2017,0,"2,107"
slb,2016,0,"2,055"
slb,2015,0,"2,410"
slb,2014,0,"3,976"
eog,2021,0,"3,671"
eog,2020,0,"3,442"
eog,2019,0,"6,274"
eog,2018,0,"6,196"
eog,2017,0,"4,234"
mpc,2021,118,"1,605"
mpc,2020,121,"2,269"
mpc,2019,528,"4,508"
mpc,2018,360,"3,455"
mpc,2017,343,"2,801"
mpc,2016,302,"2,771"
mpc,2015,222,"2,098"
pxd,2022,160,"3,800"
pxd,2021,139,"3,300"
pxd,2020,63,"1,498"
pxd,2019,124,"2,953"
pxd,2018,122,"2,900"
pxd,2017,118,"2,800"
psx,2022,240,"2,194"
psx,2021,239,"1,860"
psx,2020,238,"2,920"
psx,2019,246,"3,873"
vlo,2022,88,"2,194"
vlo,2021,96,"1,860"
vlo,2020,131,"2,920"
vlo,2019,133,"3,873"
oxy,2022,168,"4,497"
oxy,2021,154,"2,870"
wmb,2021,31,"1,239"
wmb,2020,33,"1,239"
wmb,2019,31,"2,109"
wmb,2018,35,"3,256"
hes,2021,16,"1,829"
hes,2020,15,"1,786"
hes,2019,20,"2,743"
hes,2018,15,"2,069"
hes,2017,15,"2,047"
hes,2016,10,"1,871"
hes,2015,13,"4,038"
hes,2014,12,"5,606"
hes,2013,16,"6,209"
hes,2012,19,"8,152"
lng,2021,0,0
lng,2019,0,0
kmi,2021,243,"1,281"
kmi,2020,250,"1,707"
kmi,2019,259,"2,270"
kmi,2018,271,"2,904"
kmi,2017,279,"3,188"
dvn,2021,32,"1,989"
dvn,2020,18,"1,153"
dvn,2019,31,"1,910"